longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity
-122.28;37.85;49.0;1130.0;244.0;607.0;239.0;24.597;93800.0;NEAR BAY
-122.28;37.85;52.0;1898.0;421.0;1102.0;397.0;1.808;105500.0;NEAR BAY
-122.28;37.84;50.0;2082.0;492.0;1131.0;473.0;16.424;108900.0;NEAR BAY
-122.28;37.84;52.0;729.0;160.0;395.0;155.0;16.875;132000.0;NEAR BAY
-122.28;37.84;49.0;1916.0;447.0;863.0;378.0;19.274;122300.0;NEAR BAY
-122.28;37.84;52.0;2153.0;481.0;1168.0;441.0;19.615;115200.0;NEAR BAY
-122.27;37.84;48.0;1922.0;409.0;1026.0;335.0;17.969;110400.0;NEAR BAY
-122.27;37.83;49.0;1655.0;366.0;754.0;329.0;1.375;104900.0;NEAR BAY
-122.27;37.83;51.0;2665.0;574.0;1258.0;536.0;27.303;109700.0;NEAR BAY
-122.27;37.83;49.0;1215.0;282.0;570.0;264.0;14.861;97200.0;NEAR BAY
-122.27;37.83;48.0;1798.0;432.0;987.0;374.0;10.972;104500.0;NEAR BAY
-122.28;37.83;52.0;1511.0;390.0;901.0;403.0;14.103;103900.0;NEAR BAY
-122.26;37.83;52.0;1470.0;330.0;689.0;309.0;3.48;191400.0;NEAR BAY
-122.26;37.83;52.0;2432.0;715.0;1377.0;696.0;25.898;176000.0;NEAR BAY
-122.26;37.83;52.0;1665.0;419.0;946.0;395.0;20.978;155400.0;NEAR BAY
-122.26;37.83;51.0;936.0;311.0;517.0;249.0;12.852;150000.0;NEAR BAY
-122.26;37.84;49.0;713.0;202.0;462.0;189.0;1.025;118800.0;NEAR BAY
-122.26;37.84;52.0;950.0;202.0;467.0;198.0;39.643;188800.0;NEAR BAY
-122.26;37.83;52.0;1443.0;311.0;660.0;292.0;30.125;184400.0;NEAR BAY
-122.26;37.83;52.0;1656.0;420.0;718.0;382.0;26.768;182300.0;NEAR BAY
-122.26;37.83;50.0;1125.0;322.0;616.0;304.0;2.026;142500.0;NEAR BAY
-122.27;37.82;43.0;1007.0;312.0;558.0;253.0;17.348;137500.0;NEAR BAY
-122.26;37.82;40.0;624.0;195.0;423.0;160.0;0.9506;187500.0;NEAR BAY
-122.27;37.82;40.0;946.0;375.0;700.0;352.0;1.775;112500.0;NEAR BAY
-122.27;37.82;21.0;896.0;453.0;735.0;438.0;0.9218;171900.0;NEAR BAY
-122.27;37.82;43.0;1868.0;456.0;1061.0;407.0;15.045;93800.0;NEAR BAY
-122.27;37.82;41.0;3221.0;853.0;1959.0;720.0;11.108;97500.0;NEAR BAY
-122.27;37.82;52.0;1630.0;456.0;1162.0;400.0;12.475;104200.0;NEAR BAY
-122.28;37.82;52.0;1170.0;235.0;701.0;233.0;16.098;87500.0;NEAR BAY
-122.28;37.82;52.0;945.0;243.0;576.0;220.0;14.113;83100.0;NEAR BAY
-122.28;37.82;52.0;1238.0;288.0;622.0;259.0;15.057;87500.0;NEAR BAY
-122.28;37.82;52.0;1489.0;335.0;728.0;244.0;0.8172;85300.0;NEAR BAY
-122.28;37.82;52.0;1387.0;341.0;1074.0;304.0;12.171;80300.0;NEAR BAY
-122.29;37.82;2.0;158.0;43.0;94.0;57.0;25.625;60000.0;NEAR BAY
-122.29;37.83;52.0;1121.0;211.0;554.0;187.0;33.929;75700.0;NEAR BAY
-122.29;37.82;49.0;135.0;29.0;86.0;23.0;61.183;75000.0;NEAR BAY
-122.29;37.81;50.0;760.0;190.0;377.0;122.0;0.9011;86100.0;NEAR BAY
-122.3;37.81;52.0;1224.0;237.0;521.0;159.0;1.191;76100.0;NEAR BAY
-122.3;37.81;48.0;828.0;182.0;392.0;133.0;25.938;73500.0;NEAR BAY
-122.3;37.81;52.0;1010.0;209.0;604.0;187.0;11.667;78400.0;NEAR BAY
-122.3;37.81;48.0;1455.0;354.0;788.0;332.0;0.8056;84400.0;NEAR BAY
-122.29;37.8;52.0;1027.0;244.0;492.0;147.0;26.094;81300.0;NEAR BAY
-122.3;37.81;52.0;572.0;109.0;274.0;82.0;18.516;85000.0;NEAR BAY
-122.29;37.81;46.0;2801.0;644.0;1823.0;611.0;0.9802;129200.0;NEAR BAY
-122.29;37.81;26.0;768.0;152.0;392.0;127.0;17.719;82500.0;NEAR BAY
-122.29;37.81;46.0;935.0;297.0;582.0;277.0;0.7286;95200.0;NEAR BAY
-122.29;37.81;49.0;844.0;204.0;560.0;152.0;1.75;75000.0;NEAR BAY
-122.29;37.81;46.0;12.0;4.0;18.0;7.0;0.4999;67500.0;NEAR BAY
-122.29;37.81;20.0;835.0;161.0;290.0;133.0;2.483;137500.0;NEAR BAY
-122.28;37.81;17.0;1237.0;462.0;762.0;439.0;0.9241;177500.0;NEAR BAY
-122.28;37.81;36.0;2914.0;562.0;1236.0;509.0;24.464;102100.0;NEAR BAY
-122.28;37.81;19.0;1207.0;243.0;721.0;207.0;11.111;108300.0;NEAR BAY
-122.29;37.81;23.0;1745.0;374.0;1054.0;325.0;0.8026;112500.0;NEAR BAY
-122.28;37.8;38.0;684.0;176.0;344.0;155.0;20.114;131300.0;NEAR BAY
-122.28;37.81;17.0;924.0;289.0;609.0;289.0;1.5;162500.0;NEAR BAY
-122.27;37.81;52.0;210.0;56.0;183.0;56.0;11.667;112500.0;NEAR BAY
-122.28;37.81;52.0;340.0;97.0;200.0;87.0;15.208;112500.0;NEAR BAY
-122.28;37.81;52.0;386.0;164.0;346.0;155.0;0.8075;137500.0;NEAR BAY
-122.28;37.81;35.0;948.0;184.0;467.0;169.0;18.088;118800.0;NEAR BAY
-122.28;37.81;52.0;773.0;143.0;377.0;115.0;24.083;98200.0;NEAR BAY
-122.27;37.81;40.0;880.0;451.0;582.0;380.0;0.977;118800.0;NEAR BAY
-122.27;37.81;10.0;875.0;348.0;546.0;330.0;0.76;162500.0;NEAR BAY
-122.27;37.8;10.0;105.0;42.0;125.0;39.0;0.9722;137500.0;NEAR BAY
-122.27;37.8;52.0;249.0;78.0;396.0;85.0;12.434;500001.0;NEAR BAY
-122.27;37.8;16.0;994.0;392.0;800.0;362.0;20.938;162500.0;NEAR BAY
-122.28;37.8;52.0;215.0;87.0;904.0;88.0;0.8668;137500.0;NEAR BAY
-122.28;37.8;52.0;96.0;31.0;191.0;34.0;0.75;162500.0;NEAR BAY
-122.27;37.79;27.0;1055.0;347.0;718.0;302.0;26.354;187500.0;NEAR BAY
-122.27;37.8;39.0;1715.0;623.0;1327.0;467.0;18.477;179200.0;NEAR BAY
-122.26;37.8;36.0;5329.0;2477.0;3469.0;2323.0;20.096;130000.0;NEAR BAY
-122.26;37.82;31.0;4596.0;1331.0;2048.0;1180.0;28.345;183800.0;NEAR BAY
-122.26;37.81;29.0;335.0;107.0;202.0;91.0;20.062;125000.0;NEAR BAY
-122.26;37.82;22.0;3682.0;1270.0;2024.0;1250.0;12.185;170000.0;NEAR BAY
-122.26;37.82;37.0;3633.0;1085.0;1838.0;980.0;26.104;193100.0;NEAR BAY
-122.25;37.81;29.0;4656.0;1414.0;2304.0;1250.0;24.912;257800.0;NEAR BAY
-122.25;37.81;28.0;5806.0;1603.0;2563.0;1497.0;32.177;273400.0;NEAR BAY
-122.25;37.81;39.0;854.0;242.0;389.0;228.0;3.125;237500.0;NEAR BAY
-122.25;37.81;52.0;2155.0;701.0;895.0;613.0;25.795;350000.0;NEAR BAY
-122.26;37.81;34.0;5871.0;1914.0;2689.0;1789.0;28.406;335700.0;NEAR BAY
-122.24;37.82;52.0;1509.0;225.0;674.0;244.0;49.306;313400.0;NEAR BAY
-122.24;37.81;52.0;2026.0;482.0;709.0;456.0;32.727;268500.0;NEAR BAY
-122.25;37.81;52.0;1758.0;460.0;686.0;422.0;31.691;259400.0;NEAR BAY
-122.24;37.82;52.0;3481.0;751.0;1444.0;718.0;3.9;275700.0;NEAR BAY
-122.25;37.82;28.0;3337.0;855.0;1520.0;802.0;39.063;225000.0;NEAR BAY
-122.25;37.82;52.0;1424.0;289.0;550.0;253.0;50.917;262500.0;NEAR BAY
-122.25;37.82;32.0;3809.0;1098.0;1806.0;1022.0;26.429;218500.0;NEAR BAY
-122.25;37.82;26.0;3959.0;1196.0;1749.0;1217.0;30.233;255000.0;NEAR BAY
-122.25;37.83;52.0;2376.0;559.0;939.0;519.0;31.484;224100.0;NEAR BAY
-122.25;37.83;35.0;1613.0;428.0;675.0;422.0;34.722;243100.0;NEAR BAY
-122.25;37.83;52.0;1279.0;287.0;534.0;291.0;31.429;231600.0;NEAR BAY
-122.25;37.83;28.0;5022.0;1750.0;2558.0;1661.0;24.234;218500.0;NEAR BAY
-122.25;37.83;52.0;4190.0;1105.0;1786.0;1037.0;30.897;234100.0;NEAR BAY
-122.23;37.84;50.0;2515.0;399.0;970.0;373.0;58.596;327600.0;NEAR BAY
-122.23;37.84;47.0;3175.0;454.0;1098.0;485.0;52.868;347600.0;NEAR BAY
-122.24;37.83;41.0;2576.0;406.0;794.0;376.0;5.956;366100.0;NEAR BAY
-122.24;37.85;37.0;334.0;54.0;98.0;47.0;49.643;335000.0;NEAR BAY
-122.23;37.85;52.0;2800.0;411.0;1061.0;403.0;63.434;373600.0;NEAR BAY
-122.24;37.84;52.0;3529.0;574.0;1177.0;555.0;51.773;389500.0;NEAR BAY
-122.24;37.85;52.0;2612.0;365.0;901.0;367.0;72.354;391100.0;NEAR BAY
-122.22;37.85;28.0;5287.0;1048.0;2031.0;956.0;5.457;337300.0;NEAR BAY
-122.22;37.84;50.0;2935.0;473.0;1031.0;479.0;7.5;295200.0;NEAR BAY
-122.21;37.84;44.0;3424.0;597.0;1358.0;597.0;60.194;292300.0;NEAR BAY
-122.21;37.83;40.0;4991.0;674.0;1616.0;654.0;75.544;411500.0;NEAR BAY
-122.2;37.84;30.0;2211.0;346.0;844.0;343.0;60.666;311500.0;NEAR BAY
-122.21;37.84;34.0;3038.0;490.0;1140.0;496.0;70.548;325900.0;NEAR BAY
-122.19;37.84;18.0;1617.0;210.0;533.0;194.0;116.017;392600.0;NEAR BAY
-122.2;37.84;35.0;2865.0;460.0;1072.0;443.0;74.882;319300.0;NEAR BAY
-122.21;37.83;34.0;5065.0;788.0;1627.0;766.0;68.976;333300.0;NEAR BAY
-122.19;37.83;28.0;1326.0;184.0;463.0;190.0;82.049;335200.0;NEAR BAY
-122.2;37.83;26.0;1589.0;223.0;542.0;211.0;8.401;351200.0;NEAR BAY
-122.19;37.83;29.0;1791.0;271.0;661.0;269.0;68.538;368900.0;NEAR BAY
-122.19;37.82;32.0;1835.0;264.0;635.0;263.0;8.317;365900.0;NEAR BAY
-122.2;37.82;37.0;1229.0;181.0;420.0;176.0;70.175;366700.0;NEAR BAY
-122.2;37.82;39.0;3770.0;534.0;1265.0;500.0;63.302;362800.0;NEAR BAY
-122.18;37.81;30.0;292.0;38.0;126.0;52.0;63.624;483300.0;NEAR BAY
-122.21;37.82;52.0;2375.0;333.0;813.0;350.0;70.549;331400.0;NEAR BAY
-122.2;37.81;45.0;2964.0;436.0;1067.0;426.0;67.851;323500.0;NEAR BAY
-122.21;37.8;50.0;2833.0;605.0;1260.0;552.0;28.929;216700.0;NEAR BAY
-122.21;37.8;38.0;2254.0;535.0;951.0;487.0;30.812;233100.0;NEAR BAY
-122.21;37.81;52.0;1389.0;212.0;510.0;224.0;52.402;296400.0;NEAR BAY
-122.22;37.81;52.0;1971.0;335.0;765.0;308.0;65.217;273700.0;NEAR BAY
-122.22;37.8;52.0;2183.0;465.0;1129.0;460.0;32.632;227700.0;NEAR BAY
-122.22;37.8;52.0;2286.0;464.0;1073.0;441.0;30.298;199600.0;NEAR BAY
-122.22;37.8;52.0;2721.0;541.0;1185.0;515.0;45.428;239800.0;NEAR BAY
-122.22;37.81;52.0;2024.0;339.0;756.0;340.0;4.072;270100.0;NEAR BAY
-122.22;37.81;52.0;2944.0;536.0;1034.0;521.0;53.509;302100.0;NEAR BAY
-122.23;37.8;52.0;2033.0;486.0;787.0;459.0;31.603;269500.0;NEAR BAY
-122.23;37.81;52.0;1433.0;229.0;612.0;213.0;47.708;314700.0;NEAR BAY
-122.22;37.81;52.0;2927.0;402.0;1021.0;380.0;81.564;390100.0;NEAR BAY
-122.23;37.81;52.0;2315.0;292.0;861.0;258.0;88.793;410300.0;NEAR BAY
-122.24;37.81;52.0;2485.0;313.0;953.0;327.0;68.591;352400.0;NEAR BAY
-122.24;37.81;52.0;1490.0;238.0;634.0;256.0;60.302;287300.0;NEAR BAY
-122.23;37.81;52.0;2814.0;365.0;878.0;352.0;7.508;348700.0;NEAR BAY
-122.24;37.81;52.0;2093.0;550.0;918.0;483.0;27.477;243800.0;NEAR BAY
-122.24;37.8;52.0;888.0;168.0;360.0;175.0;21.944;211500.0;NEAR BAY
-122.25;37.8;52.0;2087.0;510.0;1197.0;488.0;30.149;218400.0;NEAR BAY
-122.24;37.81;52.0;2513.0;502.0;1048.0;518.0;3.675;269900.0;NEAR BAY
-122.25;37.81;46.0;3232.0;835.0;1373.0;747.0;3.225;218800.0;NEAR BAY
-122.25;37.8;42.0;4120.0;1065.0;1715.0;1015.0;29.345;225000.0;NEAR BAY
-122.25;37.8;43.0;2364.0;792.0;1359.0;722.0;21.429;250000.0;NEAR BAY
-122.25;37.8;41.0;1471.0;469.0;1062.0;413.0;16.121;171400.0;NEAR BAY
-122.25;37.8;29.0;2468.0;864.0;1335.0;773.0;13.929;193800.0;NEAR BAY
-122.24;37.79;27.0;1632.0;492.0;1171.0;429.0;23.173;125000.0;NEAR BAY
-122.25;37.79;45.0;1786.0;526.0;1475.0;460.0;17.772;97500.0;NEAR BAY
-122.25;37.79;50.0;629.0;188.0;742.0;196.0;26.458;125000.0;NEAR BAY
-122.25;37.79;52.0;1339.0;391.0;1086.0;363.0;2.181;138800.0;NEAR BAY
-122.25;37.8;36.0;1678.0;606.0;1645.0;543.0;22.303;116700.0;NEAR BAY
-122.25;37.8;43.0;2344.0;647.0;1710.0;644.0;16.504;151800.0;NEAR BAY
-122.24;37.8;52.0;996.0;228.0;731.0;228.0;22.697;127000.0;NEAR BAY
-122.24;37.8;52.0;1591.0;373.0;1118.0;347.0;21.563;128600.0;NEAR BAY
-122.24;37.8;52.0;1586.0;398.0;1006.0;335.0;21.348;140600.0;NEAR BAY
-122.24;37.8;47.0;2046.0;588.0;1213.0;554.0;26.292;182700.0;NEAR BAY
-122.23;37.8;52.0;1192.0;289.0;772.0;257.0;23.833;146900.0;NEAR BAY
-122.24;37.8;52.0;1803.0;420.0;1321.0;401.0;2.957;122800.0;NEAR BAY
-122.24;37.8;49.0;2838.0;749.0;1487.0;677.0;25.238;169300.0;NEAR BAY
-122.23;37.8;52.0;783.0;184.0;488.0;186.0;19.375;126600.0;NEAR BAY
-122.23;37.8;51.0;1590.0;414.0;949.0;392.0;19.028;127900.0;NEAR BAY
-122.23;37.8;50.0;1746.0;480.0;1149.0;415.0;2.25;123500.0;NEAR BAY
-122.23;37.8;52.0;1252.0;299.0;844.0;280.0;23.929;111900.0;NEAR BAY
-122.23;37.79;43.0;5963.0;1344.0;4367.0;1231.0;21.917;112800.0;NEAR BAY
-122.23;37.79;52.0;1783.0;395.0;1659.0;412.0;29.357;107900.0;NEAR BAY
-122.23;37.79;30.0;999.0;264.0;1011.0;263.0;18.854;137500.0;NEAR BAY
-122.24;37.79;39.0;1469.0;431.0;1464.0;389.0;21.638;105500.0;NEAR BAY
-122.24;37.79;47.0;1372.0;395.0;1237.0;303.0;2.125;95500.0;NEAR BAY
-122.24;37.79;52.0;674.0;180.0;647.0;168.0;3.375;116100.0;NEAR BAY
-122.24;37.79;43.0;1626.0;376.0;1284.0;357.0;22.542;112200.0;NEAR BAY
-122.25;37.79;51.0;175.0;43.0;228.0;55.0;2.1;75000.0;NEAR BAY
-122.25;37.79;39.0;461.0;129.0;381.0;123.0;1.6;112500.0;NEAR BAY
-122.25;37.79;52.0;902.0;237.0;846.0;227.0;3.625;125000.0;NEAR BAY
-122.26;37.8;20.0;2373.0;779.0;1659.0;676.0;16.929;115000.0;NEAR BAY
-122.22;37.77;52.0;391.0;128.0;520.0;138.0;16.471;95000.0;NEAR BAY
-122.22;37.77;52.0;1137.0;301.0;866.0;259.0;2.59;96400.0;NEAR BAY
-122.23;37.77;52.0;769.0;206.0;612.0;183.0;2.57;72000.0;NEAR BAY
-122.23;37.78;52.0;472.0;146.0;415.0;126.0;26.429;71300.0;NEAR BAY
-122.23;37.78;52.0;862.0;215.0;994.0;213.0;30.257;80800.0;NEAR BAY
-122.22;37.78;50.0;1920.0;530.0;1525.0;477.0;14.886;128800.0;NEAR BAY
-122.23;37.78;43.0;1420.0;472.0;1506.0;438.0;19.338;112500.0;NEAR BAY
-122.23;37.78;52.0;986.0;258.0;1008.0;255.0;14.844;119400.0;NEAR BAY
-122.23;37.78;44.0;2340.0;825.0;2813.0;751.0;16.009;118100.0;NEAR BAY
-122.23;37.79;48.0;1696.0;396.0;1481.0;343.0;20.375;122500.0;NEAR BAY
-122.23;37.79;49.0;1175.0;217.0;859.0;219.0;2.293;106300.0;NEAR BAY
-122.22;37.79;37.0;2343.0;574.0;1608.0;523.0;21.494;132500.0;NEAR BAY
-122.23;37.79;30.0;610.0;145.0;425.0;140.0;16.198;122700.0;NEAR BAY
-122.23;37.79;40.0;930.0;199.0;564.0;184.0;13.281;113300.0;NEAR BAY
-122.22;37.79;44.0;1487.0;314.0;961.0;272.0;35.156;109500.0;NEAR BAY
-122.22;37.79;52.0;3424.0;690.0;2273.0;685.0;39.048;164700.0;NEAR BAY
-122.21;37.79;52.0;762.0;190.0;600.0;195.0;30.893;125000.0;NEAR BAY
-122.22;37.79;46.0;2366.0;575.0;1647.0;527.0;26.042;124700.0;NEAR BAY
-122.22;37.79;49.0;1826.0;450.0;1201.0;424.0;2.5;136700.0;NEAR BAY
-122.22;37.79;38.0;3049.0;711.0;2167.0;659.0;27.969;141700.0;NEAR BAY
-122.2;37.79;29.0;1640.0;376.0;939.0;340.0;28.321;150000.0;NEAR BAY
-122.21;37.79;47.0;1543.0;307.0;859.0;292.0;29.583;138800.0;NEAR BAY
-122.21;37.79;34.0;2364.0;557.0;1517.0;516.0;28.365;139200.0;NEAR BAY
-122.21;37.79;35.0;1745.0;409.0;1143.0;386.0;2.875;143800.0;NEAR BAY
-122.21;37.8;39.0;2003.0;500.0;1109.0;464.0;30.682;156500.0;NEAR BAY
-122.21;37.8;39.0;2018.0;447.0;1221.0;446.0;30.757;151000.0;NEAR BAY
-122.2;37.8;43.0;3045.0;499.0;1115.0;455.0;49.559;273000.0;NEAR BAY
-122.2;37.8;52.0;1547.0;293.0;706.0;268.0;47.721;217100.0;NEAR BAY
-122.21;37.8;52.0;3519.0;711.0;1883.0;706.0;34.861;187100.0;NEAR BAY
-122.2;37.8;41.0;2070.0;354.0;804.0;340.0;51.184;239600.0;NEAR BAY
-122.21;37.8;48.0;1321.0;263.0;506.0;252.0;40.977;229700.0;NEAR BAY
-122.19;37.8;48.0;1694.0;259.0;610.0;238.0;4.744;257300.0;NEAR BAY
-122.19;37.8;46.0;1938.0;341.0;768.0;332.0;42.727;246900.0;NEAR BAY
-122.19;37.79;50.0;968.0;195.0;462.0;184.0;29.844;179900.0;NEAR BAY
-122.2;37.79;40.0;1060.0;256.0;667.0;235.0;41.739;169600.0;NEAR BAY
-122.2;37.8;46.0;2041.0;405.0;1059.0;399.0;38.487;203300.0;NEAR BAY
-122.19;37.8;52.0;1813.0;271.0;637.0;277.0;40.114;263400.0;NEAR BAY
-122.19;37.79;45.0;2718.0;451.0;1106.0;454.0;46.563;231800.0;NEAR BAY
-122.19;37.79;28.0;3144.0;761.0;1737.0;669.0;29.297;140500.0;NEAR BAY
-122.2;37.79;35.0;1802.0;459.0;1009.0;390.0;23.036;126000.0;NEAR BAY
-122.2;37.79;49.0;882.0;195.0;737.0;210.0;26.667;122000.0;NEAR BAY
-122.2;37.79;44.0;1621.0;452.0;1354.0;491.0;2.619;134700.0;NEAR BAY
-122.21;37.79;45.0;2115.0;533.0;1530.0;474.0;24.167;139400.0;NEAR BAY
-122.2;37.79;45.0;2021.0;528.0;1410.0;480.0;27.788;115400.0;NEAR BAY
-122.21;37.78;46.0;2239.0;508.0;1390.0;569.0;27.352;137300.0;NEAR BAY
-122.21;37.78;52.0;1477.0;300.0;1065.0;269.0;18.472;137000.0;NEAR BAY
-122.21;37.78;52.0;1056.0;224.0;792.0;245.0;26.583;142600.0;NEAR BAY
-122.21;37.78;49.0;898.0;244.0;779.0;245.0;30.536;137500.0;NEAR BAY
-122.22;37.78;44.0;2968.0;710.0;2269.0;610.0;23.906;111700.0;NEAR BAY
-122.21;37.78;43.0;1702.0;460.0;1227.0;407.0;17.188;126800.0;NEAR BAY
-122.21;37.78;47.0;881.0;248.0;753.0;241.0;2.625;111300.0;NEAR BAY
-122.22;37.77;40.0;494.0;114.0;547.0;135.0;28.015;114800.0;NEAR BAY
-122.22;37.78;50.0;1776.0;473.0;1807.0;440.0;17.276;102300.0;NEAR BAY
-122.22;37.78;44.0;1678.0;514.0;1700.0;495.0;20.801;131900.0;NEAR BAY
-122.22;37.78;51.0;1637.0;463.0;1543.0;393.0;2.489;119100.0;NEAR BAY
-122.21;37.76;52.0;1420.0;314.0;1085.0;300.0;17.546;80600.0;NEAR BAY
-122.21;37.77;52.0;591.0;173.0;353.0;137.0;40.904;80600.0;NEAR BAY
-122.21;37.77;52.0;745.0;153.0;473.0;149.0;26.765;88800.0;NEAR BAY
-122.2;37.77;49.0;2272.0;498.0;1621.0;483.0;24.338;102400.0;NEAR BAY
-122.21;37.77;46.0;1234.0;375.0;1183.0;354.0;23.309;98700.0;NEAR BAY
-122.21;37.77;43.0;1017.0;328.0;836.0;277.0;22.604;100000.0;NEAR BAY
-122.19;37.77;42.0;932.0;254.0;900.0;263.0;18.039;92300.0;NEAR BAY
-122.2;37.77;39.0;2689.0;597.0;1888.0;537.0;22.562;94800.0;NEAR BAY
-122.2;37.77;41.0;1547.0;415.0;1024.0;341.0;20.562;102000.0;NEAR BAY
-122.2;37.78;52.0;2300.0;443.0;1225.0;423.0;35.398;158400.0;NEAR BAY
-122.2;37.78;39.0;1752.0;399.0;1071.0;376.0;31.167;121600.0;NEAR BAY
-122.2;37.78;50.0;1867.0;403.0;1128.0;378.0;25.401;129100.0;NEAR BAY
-122.2;37.77;43.0;2430.0;502.0;1537.0;484.0;2.898;121400.0;NEAR BAY
-122.21;37.78;44.0;1729.0;414.0;1240.0;393.0;23.125;102800.0;NEAR BAY
-122.19;37.78;52.0;1026.0;180.0;469.0;168.0;2.875;160000.0;NEAR BAY
-122.19;37.77;52.0;2170.0;428.0;1086.0;425.0;33.715;143900.0;NEAR BAY
-122.19;37.77;52.0;2329.0;445.0;1144.0;417.0;35.114;151200.0;NEAR BAY
-122.19;37.78;52.0;2492.0;415.0;1109.0;375.0;43.125;164400.0;NEAR BAY
-122.19;37.78;52.0;2198.0;397.0;984.0;369.0;3.22;156500.0;NEAR BAY
-122.18;37.78;33.0;142.0;31.0;575.0;47.0;3.875;225000.0;NEAR BAY
-122.19;37.78;49.0;1183.0;205.0;496.0;209.0;52.328;174200.0;NEAR BAY
-122.19;37.78;52.0;1070.0;193.0;555.0;190.0;37.262;166900.0;NEAR BAY
-122.2;37.78;45.0;1766.0;332.0;869.0;327.0;45.893;163500.0;NEAR BAY
-122.18;37.79;39.0;617.0;95.0;236.0;106.0;52.578;253000.0;NEAR BAY
-122.18;37.79;41.0;1411.0;233.0;626.0;214.0;70.875;240700.0;NEAR BAY
-122.18;37.79;46.0;2109.0;387.0;922.0;329.0;39.712;208100.0;NEAR BAY
-122.19;37.79;47.0;1229.0;243.0;582.0;256.0;29.514;198100.0;NEAR BAY
-122.19;37.79;50.0;954.0;217.0;546.0;201.0;26.667;172800.0;NEAR BAY
-122.18;37.81;37.0;1643.0;262.0;620.0;266.0;54.446;336700.0;NEAR BAY
-122.18;37.8;34.0;1355.0;195.0;442.0;195.0;62.838;318200.0;NEAR BAY
-122.18;37.8;23.0;2317.0;336.0;955.0;328.0;67.527;285800.0;NEAR BAY
-122.13;37.77;24.0;2459.0;317.0;916.0;324.0;70.712;293000.0;NEAR BAY
-122.16;37.79;22.0;12842.0;2048.0;4985.0;1967.0;59.849;371000.0;NEAR BAY
-122.17;37.78;42.0;1524.0;260.0;651.0;267.0;36.875;157300.0;NEAR BAY
-122.17;37.77;30.0;3326.0;746.0;1704.0;703.0;2.875;135300.0;NEAR BAY
-122.18;37.78;43.0;1985.0;440.0;1085.0;407.0;34.205;136700.0;NEAR BAY
-122.18;37.78;50.0;1642.0;322.0;713.0;284.0;32.984;160700.0;NEAR BAY
-122.17;37.78;49.0;893.0;177.0;468.0;181.0;3.875;140600.0;NEAR BAY
-122.17;37.78;52.0;653.0;128.0;296.0;121.0;4.175;144000.0;NEAR BAY
-122.16;37.77;47.0;1256.0;;570.0;218.0;4.375;161900.0;NEAR BAY
-122.16;37.77;48.0;977.0;194.0;446.0;180.0;47.708;156300.0;NEAR BAY
-122.16;37.77;45.0;2324.0;397.0;968.0;384.0;35.739;176000.0;NEAR BAY
